"C1",  "C2",  "C3",  "C4",  "C5",  "C6",  "C7",  "C8", "C9", "C10", "P-value", "Proportion",  "Test"
"5", "12", "7", "18", "19", "24", "37", "40", "33", "45", "0.0", "1.0", "AperiodicTemplate"
"3", "3", "12", "22", "18", "17", "39", "36", "38", "52", "0.0", "1.0", "AperiodicTemplate"
"5", "16", "11", "22", "22", "27", "31", "23", "39", "44", "0.0", "1.0", "AperiodicTemplate"
"12", "9", "15", "26", "22", "20", "23", "36", "37", "40", "2e-06", "0.9958", "AperiodicTemplate"
"6", "12", "19", "20", "13", "33", "23", "33", "38", "43", "0.0", "1.0", "AperiodicTemplate"
"10", "7", "15", "18", "30", "18", "27", "28", "32", "55", "0.0", "1.0", "AperiodicTemplate"
"10", "15", "20", "18", "17", "29", "27", "32", "31", "41", "9.2e-0", "0.9958", "AperiodicTemplate"
"1", "12", "13", "24", "18", "23", "25", "34", "46", "44", "0.0", "1.0", "AperiodicTemplate"
"5", "22", "21", "19", "26", "25", "22", "24", "29", "47", "7e-06", "1.0", "AperiodicTemplate"
"6", "15", "20", "21", "20", "31", "29", "38", "22", "38", "1.6e-0", "1.0", "AperiodicTemplate"
"6", "13", "8", "24", "18", "27", "31", "34", "31", "48", "0.0", "0.9958", "AperiodicTemplate"
"9", "9", "19", "19", "25", "30", "28", "25", "28", "48", "0.0", "1.0", "AperiodicTemplate"
"12", "16", "15", "28", "28", "21", "20", "27", "35", "38", "0.0009", "1.0", "AperiodicTemplate"
"6", "14", "18", "15", "19", "20", "24", "38", "38", "48", "0.0", "0.9958", "AperiodicTemplate"
"13", "19", "18", "23", "18", "23", "21", "31", "29", "45", "0.0002", "1.0", "AperiodicTemplate"
"14", "14", "13", "21", "21", "27", "33", "37", "37", "23", "0.0001", "0.9958", "AperiodicTemplate"
"7", "14", "15", "17", "21", "29", "29", "31", "32", "45", "0.0", "1.0", "AperiodicTemplate"
"15", "16", "28", "14", "23", "29", "37", "25", "27", "26", "0.0206", "1.0", "AperiodicTemplate"
"19", "17", "26", "21", "15", "26", "27", "26", "32", "31", "0.1908", "0.9958", "AperiodicTemplate"
"3", "22", "18", "18", "17", "29", "31", "33", "35", "34", "1e-05", "1.0", "AperiodicTemplate"
"6", "13", "11", "21", "19", "33", "31", "32", "26", "48", "0.0", "1.0", "AperiodicTemplate"
"5", "15", "14", "17", "21", "14", "37", "24", "49", "44", "0.0", "1.0", "AperiodicTemplate"
"8", "12", "8", "24", "16", "24", "35", "30", "42", "41", "0.0", "1.0", "AperiodicTemplate"
"5", "6", "22", "21", "19", "15", "33", "32", "35", "52", "0.0", "1.0", "AperiodicTemplate"
"12", "15", "18", "21", "24", "29", "23", "28", "34", "36", "0.0058", "0.9958", "AperiodicTemplate"
"15", "18", "15", "23", "23", "22", "32", "24", "38", "30", "0.0134", "1.0", "AperiodicTemplate"
"9", "12", "17", "14", "26", "23", "22", "41", "40", "36", "0.0", "1.0", "AperiodicTemplate"
"5", "6", "15", "20", "13", "24", "25", "39", "47", "46", "0.0", "1.0", "AperiodicTemplate"
"5", "10", "15", "14", "21", "18", "19", "49", "31", "58", "0.0", "1.0", "AperiodicTemplate"
"6", "9", "12", "18", "23", "26", "29", "35", "32", "50", "0.0", "1.0", "AperiodicTemplate"
"9", "12", "14", "21", "18", "32", "33", "34", "27", "40", "2e-06", "1.0", "AperiodicTemplate"
"12", "13", "16", "25", "28", "21", "25", "31", "38", "31", "0.0013", "1.0", "AperiodicTemplate"
"10", "15", "14", "22", "31", "31", "29", "26", "28", "34", "0.0020", "1.0", "AperiodicTemplate"
"15", "17", "14", "21", "20", "33", "32", "24", "36", "28", "0.0054", "0.9958", "AperiodicTemplate"
"6", "14", "15", "19", "27", "18", "34", "42", "35", "30", "0.0", "1.0", "AperiodicTemplate"
"9", "23", "23", "14", "15", "29", "28", "30", "30", "39", "0.0002", "0.9958", "AperiodicTemplate"
"20", "15", "19", "30", "23", "16", "34", "24", "34", "25", "0.0392", "0.9916", "AperiodicTemplate"
"7", "20", "21", "19", "23", "33", "32", "23", "33", "29", "0.0033", "1.0", "AperiodicTemplate"
"6", "11", "13", "27", "20", "30", "27", "31", "33", "42", "0.0", "1.0", "AperiodicTemplate"
"9", "18", "11", "16", "22", "22", "23", "21", "44", "54", "0.0", "1.0", "AperiodicTemplate"
"6", "12", "17", "19", "24", "24", "25", "38", "36", "39", "1e-06", "0.9958", "AperiodicTemplate"
"5", "13", "17", "15", "21", "19", "30", "27", "39", "54", "0.0", "0.9958", "AperiodicTemplate"
"6", "7", "18", "21", "25", "33", "25", "27", "32", "46", "0.0", "1.0", "AperiodicTemplate"
"8", "15", "21", "17", "17", "34", "28", "29", "36", "35", "5e-05", "0.9958", "AperiodicTemplate"
"10", "17", "22", "26", "16", "22", "23", "28", "28", "48", "1.3e-0", "1.0", "AperiodicTemplate"
"10", "12", "20", "25", "22", "25", "22", "39", "29", "36", "0.0002", "1.0", "AperiodicTemplate"
"8", "10", "12", "16", "17", "21", "30", "28", "49", "49", "0.0", "1.0", "AperiodicTemplate"
"7", "14", "18", "18", "29", "33", "24", "29", "28", "40", "4e-05", "1.0", "AperiodicTemplate"
"7", "14", "23", "16", "24", "21", "26", "37", "35", "37", "1.4e-0", "1.0", "AperiodicTemplate"
"7", "14", "17", "13", "27", "30", "31", "27", "29", "45", "0.0", "1.0", "AperiodicTemplate"
"14", "28", "20", "19", "25", "26", "26", "18", "36", "28", "0.0886", "1.0", "AperiodicTemplate"
"7", "9", "11", "16", "20", "27", "27", "40", "32", "51", "0.0", "1.0", "AperiodicTemplate"
"2", "12", "23", "15", "17", "23", "21", "32", "37", "58", "0.0", "1.0", "AperiodicTemplate"
"6", "15", "15", "19", "26", "26", "20", "34", "38", "41", "0.0", "0.9958", "AperiodicTemplate"
"4", "8", "17", "21", "16", "18", "25", "34", "44", "53", "0.0", "1.0", "AperiodicTemplate"
"8", "11", "13", "18", "19", "23", "31", "35", "39", "43", "0.0", "1.0", "AperiodicTemplate"
"8", "13", "20", "20", "24", "31", "27", "30", "24", "43", "4e-05", "1.0", "AperiodicTemplate"
"11", "9", "5", "15", "29", "18", "38", "36", "28", "51", "0.0", "0.9958", "AperiodicTemplate"
"5", "7", "17", "12", "25", "26", "25", "29", "47", "47", "0.0", "1.0", "AperiodicTemplate"
"8", "10", "11", "22", "20", "30", "34", "17", "41", "47", "0.0", "0.9916", "AperiodicTemplate"
"6", "9", "15", "22", "26", "27", "29", "36", "27", "43", "0.0", "0.9916", "AperiodicTemplate"
"6", "6", "11", "18", "22", "22", "30", "29", "45", "51", "0.0", "1.0", "AperiodicTemplate"
"16", "19", "20", "13", "21", "31", "27", "33", "34", "26", "0.0184", "0.9958", "AperiodicTemplate"
"4", "14", "23", "21", "27", "31", "29", "16", "37", "38", "3e-06", "1.0", "AperiodicTemplate"
"13", "9", "14", "19", "23", "27", "34", "26", "39", "36", "8e-06", "0.9916", "AperiodicTemplate"
"5", "15", "23", "22", "24", "21", "23", "29", "32", "46", "2e-06", "1.0", "AperiodicTemplate"
"7", "16", "16", "17", "23", "21", "30", "32", "31", "47", "0.0", "0.9958", "AperiodicTemplate"
"11", "12", "14", "22", "22", "17", "35", "27", "31", "49", "0.0", "0.9916", "AperiodicTemplate"
"2", "10", "10", "21", "26", "21", "20", "24", "44", "62", "0.0", "1.0", "AperiodicTemplate"
"3", "14", "20", "22", "28", "21", "34", "23", "36", "39", "1e-06", "1.0", "AperiodicTemplate"
"4", "11", "22", "18", "23", "28", "22", "43", "26", "43", "0.0", "1.0", "AperiodicTemplate"
"3", "22", "16", "14", "33", "25", "31", "30", "33", "33", "1.1e-0", "1.0", "AperiodicTemplate"
"10", "24", "16", "16", "25", "25", "24", "22", "34", "44", "7.1e-0", "1.0", "AperiodicTemplate"
"7", "12", "24", "27", "11", "27", "24", "35", "32", "41", "1e-06", "0.9958", "AperiodicTemplate"
"10", "13", "13", "21", "31", "28", "24", "33", "24", "43", "8e-06", "1.0", "AperiodicTemplate"
"7", "15", "10", "23", "29", "17", "26", "31", "34", "48", "0.0", "1.0", "AperiodicTemplate"
"10", "11", "19", "25", "15", "17", "32", "39", "33", "39", "0.0", "0.9958", "AperiodicTemplate"
"11", "16", "10", "18", "22", "36", "26", "36", "29", "36", "1.3e-0", "1.0", "AperiodicTemplate"
"6", "8", "15", "13", "23", "29", "28", "23", "43", "52", "0.0", "1.0", "AperiodicTemplate"
"14", "12", "13", "15", "20", "24", "26", "28", "43", "45", "0.0", "1.0", "AperiodicTemplate"
"4", "9", "6", "12", "18", "28", "32", "31", "43", "57", "0.0", "1.0", "AperiodicTemplate"
"13", "10", "22", "21", "21", "27", "32", "31", "26", "37", "0.0017", "1.0", "AperiodicTemplate"
"9", "18", "15", "21", "29", "29", "29", "29", "30", "31", "0.0078", "1.0", "AperiodicTemplate"
"12", "29", "23", "15", "24", "24", "29", "29", "27", "28", "0.1379", "0.9958", "AperiodicTemplate"
"5", "17", "17", "17", "24", "32", "16", "32", "42", "38", "0.0", "0.9958", "AperiodicTemplate"
"6", "10", "16", "23", "26", "24", "25", "24", "31", "55", "0.0", "1.0", "AperiodicTemplate"
"6", "4", "14", "18", "24", "32", "23", "34", "36", "49", "0.0", "1.0", "AperiodicTemplate"
"7", "16", "15", "16", "19", "27", "26", "34", "42", "38", "0.0", "1.0", "AperiodicTemplate"
"12", "17", "18", "15", "29", "24", "32", "31", "22", "40", "0.0005", "0.9958", "AperiodicTemplate"
"7", "14", "15", "17", "19", "18", "20", "38", "42", "50", "0.0", "1.0", "AperiodicTemplate"
"19", "10", "14", "27", "16", "27", "40", "25", "28", "34", "0.0001", "0.9958", "AperiodicTemplate"
"4", "7", "16", "22", "24", "30", "30", "34", "28", "45", "0.0", "1.0", "AperiodicTemplate"
"12", "17", "20", "18", "23", "27", "24", "30", "35", "34", "0.0112", "1.0", "AperiodicTemplate"
"9", "16", "11", "22", "29", "25", "24", "31", "38", "35", "4.7e-0", "1.0", "AperiodicTemplate"
"13", "15", "21", "14", "18", "23", "26", "37", "40", "33", "4.4e-0", "1.0", "AperiodicTemplate"
"10", "13", "14", "16", "25", "30", "19", "34", "40", "39", "0.0", "1.0", "AperiodicTemplate"
"3", "13", "14", "24", "20", "21", "26", "32", "43", "44", "0.0", "1.0", "AperiodicTemplate"
"8", "22", "22", "18", "20", "35", "27", "15", "35", "38", "5.6e-0", "1.0", "AperiodicTemplate"
"2", "10", "9", "15", "18", "28", "28", "33", "51", "46", "0.0", "1.0", "AperiodicTemplate"
"11", "10", "11", "22", "21", "20", "27", "28", "43", "47", "0.0", "0.9958", "AperiodicTemplate"
"8", "22", "12", "24", "22", "15", "26", "27", "39", "45", "0.0", "1.0", "AperiodicTemplate"
"3", "12", "16", "15", "32", "26", "28", "26", "38", "44", "0.0", "1.0", "AperiodicTemplate"
"19", "20", "15", "20", "24", "26", "30", "22", "30", "34", "0.1516", "0.9875", "AperiodicTemplate"
"4", "9", "12", "22", "24", "15", "25", "43", "40", "46", "0.0", "1.0", "AperiodicTemplate"
"5", "4", "16", "25", "18", "21", "29", "28", "42", "52", "0.0", "1.0", "AperiodicTemplate"
"16", "17", "26", "15", "20", "29", "22", "28", "31", "36", "0.0266", "0.9958", "AperiodicTemplate"
"9", "13", "15", "17", "14", "34", "26", "34", "35", "43", "0.0", "1.0", "AperiodicTemplate"
"6", "12", "11", "21", "22", "25", "23", "32", "46", "42", "0.0", "0.9958", "AperiodicTemplate"
"9", "11", "18", "16", "25", "13", "25", "41", "32", "50", "0.0", "0.9958", "AperiodicTemplate"
"8", "12", "11", "16", "21", "19", "28", "38", "36", "51", "0.0", "1.0", "AperiodicTemplate"
"8", "14", "16", "18", "16", "27", "27", "36", "36", "42", "0.0", "0.9958", "AperiodicTemplate"
"10", "14", "16", "18", "24", "21", "35", "32", "38", "32", "5e-05", "0.9958", "AperiodicTemplate"
"5", "12", "21", "23", "20", "21", "24", "35", "36", "43", "0.0", "1.0", "AperiodicTemplate"
"14", "15", "12", "22", "23", "22", "27", "28", "39", "38", "0.0001", "0.9916", "AperiodicTemplate"
"4", "12", "16", "14", "27", "33", "16", "35", "33", "50", "0.0", "1.0", "AperiodicTemplate"
"4", "10", "15", "14", "21", "35", "33", "33", "35", "40", "0.0", "1.0", "AperiodicTemplate"
"5", "7", "19", "18", "12", "29", "36", "32", "38", "44", "0.0", "1.0", "AperiodicTemplate"
"5", "13", "16", "15", "23", "22", "26", "17", "40", "63", "0.0", "1.0", "AperiodicTemplate"
"3", "11", "17", "12", "17", "25", "37", "30", "38", "50", "0.0", "1.0", "AperiodicTemplate"
"4", "8", "17", "21", "16", "19", "25", "33", "44", "53", "0.0", "1.0", "AperiodicTemplate"
"5", "12", "7", "19", "18", "25", "36", "40", "34", "44", "0.0", "1.0", "AperiodicTemplate"
"5", "8", "15", "20", "21", "18", "26", "36", "31", "60", "0.0", "1.0", "AperiodicTemplate"
"8", "7", "11", "12", "19", "20", "26", "34", "47", "56", "0.0", "0.9958", "AperiodicTemplate"
"11", "16", "22", "18", "17", "30", "28", "31", "29", "38", "0.0014", "1.0", "AperiodicTemplate"
"9", "15", "20", "21", "16", "19", "24", "35", "31", "50", "0.0", "0.9958", "AperiodicTemplate"
"10", "11", "13", "18", "22", "22", "37", "35", "29", "43", "0.0", "1.0", "AperiodicTemplate"
"8", "7", "17", "15", "22", "23", "30", "29", "33", "56", "0.0", "1.0", "AperiodicTemplate"
"10", "16", "20", "19", "25", "19", "19", "36", "33", "43", "1.1e-0", "1.0", "AperiodicTemplate"
"11", "14", "22", "22", "24", "24", "32", "30", "34", "27", "0.0164", "1.0", "AperiodicTemplate"
"8", "18", "9", "12", "24", "26", "22", "39", "35", "47", "0.0", "0.9958", "AperiodicTemplate"
"6", "7", "17", "23", "24", "24", "21", "31", "41", "46", "0.0", "1.0", "AperiodicTemplate"
"3", "11", "15", "19", "26", "23", "30", "23", "36", "54", "0.0", "1.0", "AperiodicTemplate"
"8", "19", "22", "20", "30", "27", "13", "38", "28", "35", "0.0001", "1.0", "AperiodicTemplate"
"12", "19", "13", "21", "21", "28", "24", "31", "36", "35", "0.0016", "1.0", "AperiodicTemplate"
"5", "12", "18", "12", "31", "32", "25", "31", "31", "43", "0.0", "1.0", "AperiodicTemplate"
"9", "11", "10", "18", "22", "33", "25", "32", "33", "47", "0.0", "0.9958", "AperiodicTemplate"
"10", "15", "29", "14", "16", "22", "31", "25", "34", "44", "3e-06", "1.0", "AperiodicTemplate"
"6", "13", "17", "16", "29", "20", "28", "29", "31", "51", "0.0", "1.0", "AperiodicTemplate"
"10", "16", "8", "25", "18", "34", "36", "27", "34", "32", "6e-06", "1.0", "AperiodicTemplate"
"8", "10", "23", "17", "23", "22", "30", "27", "36", "44", "1e-06", "1.0", "AperiodicTemplate"
"12", "21", "23", "15", "24", "23", "25", "25", "36", "36", "0.0091", "1.0", "AperiodicTemplate"
"6", "12", "22", "22", "26", "17", "23", "43", "34", "35", "1e-06", "1.0", "AperiodicTemplate"
"8", "13", "10", "23", "24", "20", "25", "31", "37", "49", "0.0", "1.0", "AperiodicTemplate"
"11", "16", "17", "24", "12", "27", "30", "37", "35", "31", "9.9e-0", "1.0", "AperiodicTemplate"
"4", "13", "9", "26", "21", "25", "29", "27", "35", "51", "0.0", "1.0", "AperiodicTemplate"
"19", "22", "23", "29", "24", "26", "18", "21", "31", "27", "0.6631", "0.9875", "AperiodicTemplate"
"13", "7", "18", "20", "31", "30", "24", "31", "26", "40", "4.5e-0", "1.0", "AperiodicTemplate"
"9", "11", "17", "17", "20", "30", "27", "21", "47", "41", "0.0", "1.0", "AperiodicTemplate"
"0", "0", "0", "0", "0", "0", "0", "0", "0", "240", "0.0", "1.0", "ApproximateEntropy"
"0", "0", "0", "2", "2", "7", "3", "8", "31", "187", "0.0", "1.0", "BlockFrequency"
"7", "10", "9", "18", "18", "30", "31", "31", "36", "50", "0.0", "0.9958", "CumulativeSums"
"6", "9", "13", "21", "18", "21", "29", "31", "34", "58", "0.0", "0.9958", "CumulativeSums"
"240", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0.0", "0.0", "FFT"
"7", "13", "15", "20", "31", "36", "20", "34", "31", "33", "1e-05", "0.9958", "Frequency"
"16", "23", "26", "19", "27", "35", "21", "15", "27", "31", "0.0780", "0.9916", "LinearComplexity"
"18", "22", "26", "18", "20", "26", "27", "27", "25", "31", "0.6371", "1.0", "LongestRun"
"37", "20", "28", "27", "24", "19", "17", "24", "29", "15", "0.0618", "0.9875", "PeriodicTemplate"
"14", "16", "19", "16", "20", "28", "14", "18", "14", "15", "0.3600", "0.9885", "RandomExcursion"
"17", "13", "17", "21", "18", "25", "22", "17", "14", "10", "0.3049", "0.9827", "RandomExcursion"
"18", "22", "23", "12", "15", "16", "14", "17", "16", "21", "0.6432", "0.9942", "RandomExcursion"
"18", "22", "23", "14", "19", "19", "17", "12", "14", "16", "0.6677", "0.9885", "RandomExcursion"
"19", "20", "21", "15", "19", "11", "16", "20", "15", "18", "0.8186", "0.9827", "RandomExcursion"
"15", "18", "18", "18", "15", "17", "26", "17", "13", "17", "0.7041", "0.9885", "RandomExcursion"
"17", "15", "18", "16", "14", "17", "19", "11", "23", "24", "0.5106", "0.9885", "RandomExcursion"
"20", "14", "15", "15", "12", "13", "22", "21", "20", "22", "0.4990", "0.9827", "RandomExcursion"
"23", "12", "9", "12", "24", "15", "25", "23", "15", "16", "0.0338", "0.9885", "RandomExcursion"
"21", "16", "7", "19", "22", "15", "19", "25", "17", "13", "0.1309", "0.9885", "RandomExcursion"
"17", "14", "22", "23", "25", "17", "15", "18", "12", "11", "0.2269", "0.9885", "RandomExcursion"
"14", "19", "23", "26", "19", "19", "17", "13", "17", "7", "0.0925", "0.9942", "RandomExcursion"
"15", "18", "20", "19", "20", "20", "19", "17", "16", "10", "0.8079", "0.9942", "RandomExcursion"
"18", "15", "20", "17", "23", "16", "17", "19", "13", "16", "0.8952", "0.9885", "RandomExcursion"
"16", "18", "28", "20", "16", "17", "13", "16", "9", "21", "0.1400", "0.9885", "RandomExcursion"
"14", "22", "23", "18", "17", "17", "16", "17", "14", "16", "0.8494", "0.9942", "RandomExcursion"
"21", "17", "9", "16", "15", "21", "14", "19", "23", "19", "0.4318", "0.9942", "RandomExcursion"
"17", "17", "12", "15", "18", "22", "15", "21", "13", "24", "0.5106", "0.9942", "RandomExcursion"
"15", "17", "19", "16", "16", "17", "16", "24", "21", "13", "0.7970", "0.9885", "RandomExcursion"
"17", "18", "21", "21", "19", "11", "17", "27", "17", "6", "0.0443", "0.9942", "RandomExcursion"
"22", "20", "16", "13", "22", "14", "12", "21", "18", "16", "0.5821", "1.0", "RandomExcursion"
"15", "15", "18", "24", "21", "17", "14", "15", "24", "11", "0.3410", "0.9770", "RandomExcursion"
"19", "16", "9", "25", "21", "16", "14", "21", "19", "14", "0.2716", "0.9885", "RandomExcursion"
"21", "16", "17", "12", "7", "21", "25", "17", "14", "24", "0.0576", "0.9885", "RandomExcursion"
"15", "18", "16", "16", "16", "14", "24", "17", "21", "17", "0.8494", "0.9827", "RandomExcursion"
"24", "20", "13", "7", "17", "15", "18", "17", "27", "16", "0.0576", "0.9770", "RandomExcursion"
"23", "23", "20", "24", "28", "34", "16", "25", "27", "20", "0.4070", "0.9916", "Rank"
"3", "14", "17", "12", "26", "30", "36", "35", "27", "40", "0.0", "1.0", "Runs"
"0", "0", "0", "0", "0", "0", "0", "0", "0", "240", "0.0", "1.0", "Serial"
"14", "23", "17", "25", "16", "23", "29", "41", "26", "26", "0.0076", "0.9958", "Serial"
"48", "38", "22", "22", "35", "13", "17", "15", "15", "15", "0.0", "0.9625", "Universal"
